Scenario,MachineName,Operation,ElapsedMilliseconds
StartStopFastScenario,alpine,Start,4887
StartStopFastScenario,alpine,Stop,980
StartStopFastScenario,alpine,Start,1694
StartStopFastScenario,alpine,Stop,706
StartStopFastScenario,alpine,Start,2283
StartStopFastScenario,alpine,Stop,970
StartStopFastScenario,alpine,Start,1685
StartStopFastScenario,alpine,Stop,605
StartStopFastScenario,alpine,Start,2078
StartStopFastScenario,alpine,Stop,967
StartStopFastScenario,alpine,Start,1581
StartStopFastScenario,alpine,Stop,608
StartStopFastScenario,alpine,Start,2187
StartStopFastScenario,alpine,Stop,974
StartStopFastScenario,alpine,Start,1554
StartStopFastScenario,alpine,Stop,691
StartStopFastScenario,alpine,Start,2212
StartStopFastScenario,alpine,Stop,1008
StartStopFastScenario,alpine,Start,1543
StartStopFastScenario,alpine,Stop,582
StartStopFastScenario,alpine,Start,2119
StartStopFastScenario,alpine,Stop,975
StartStopFastScenario,alpine,Start,1598
StartStopFastScenario,alpine,Stop,651
StartStopFastScenario,alpine,Start,2409
StartStopFastScenario,alpine,Stop,957
StartStopFastScenario,alpine,Start,1613
StartStopFastScenario,alpine,Stop,661
StartStopFastScenario,alpine,Start,2257
StartStopFastScenario,alpine,Stop,1016
StartStopFastScenario,alpine,Start,1046
StartStopFastScenario,alpine,Stop,590
StartStopFastScenario,alpine,Start,2442
StartStopFastScenario,alpine,Stop,1089
StartStopFastScenario,alpine,Start,1051
StartStopFastScenario,alpine,Stop,583
StartStopFastScenario,alpine,Start,2154
StartStopFastScenario,alpine,Stop,894
StartStopFastScenario,alpine,Start,1575
StartStopFastScenario,alpine,Stop,588
StartStopFastScenario,alpine,Start,2220
StartStopFastScenario,alpine,Stop,897
StartStopFastScenario,alpine,Start,1616
StartStopFastScenario,alpine,Stop,646
StartStopFastScenario,alpine,Start,2288
StartStopFastScenario,alpine,Stop,989
StartStopFastScenario,alpine,Start,1674
StartStopFastScenario,alpine,Stop,668
StartStopFastScenario,alpine,Start,2156
StartStopFastScenario,alpine,Stop,954
StartStopFastScenario,alpine,Start,1582
StartStopFastScenario,alpine,Stop,635
StartStopFastScenario,alpine,Start,2261
StartStopFastScenario,alpine,Stop,952
StartStopFastScenario,alpine,Start,1578
StartStopFastScenario,alpine,Stop,578
StartStopFastScenario,alpine,Start,2267
StartStopFastScenario,alpine,Stop,843
StartStopFastScenario,alpine,Start,1216
StartStopFastScenario,alpine,Stop,581
StartStopFastScenario,alpine,Start,2175
StartStopFastScenario,alpine,Stop,956
StartStopFastScenario,alpine,Start,1602
StartStopFastScenario,alpine,Stop,623
StartStopFastScenario,alpine,Start,2308
StartStopFastScenario,alpine,Stop,1001
StartStopFastScenario,alpine,Start,1053
StartStopFastScenario,alpine,Stop,594
StartStopFastScenario,alpine,Start,2414
StartStopFastScenario,alpine,Stop,1044
StartStopFastScenario,alpine,Start,1217
StartStopFastScenario,alpine,Stop,584
StartStopFastScenario,alpine,Start,2165
StartStopFastScenario,alpine,Stop,1012
StartStopFastScenario,alpine,Start,2725
StartStopFastScenario,alpine,Stop,862
StartStopFastScenario,alpine,Start,1026
StartStopFastScenario,alpine,Stop,568
StartStopFastScenario,alpine,Start,2184
StartStopFastScenario,alpine,Stop,906
StartStopFastScenario,alpine,Start,1075
StartStopFastScenario,alpine,Stop,642
StartStopFastScenario,alpine,Start,2291
StartStopFastScenario,alpine,Stop,1075
StartStopFastScenario,alpine,Start,1583
StartStopFastScenario,alpine,Stop,693
StartStopFastScenario,alpine,Start,2362
StartStopFastScenario,alpine,Stop,1019
StartStopFastScenario,alpine,Start,1089
StartStopFastScenario,alpine,Stop,576
StartStopFastScenario,alpine,Start,2371
StartStopFastScenario,alpine,Stop,922
StartStopFastScenario,alpine,Start,1018
StartStopFastScenario,alpine,Stop,652
StartStopFastScenario,alpine,Start,2290
StartStopFastScenario,alpine,Stop,891
StartStopFastScenario,alpine,Start,2520
StartStopFastScenario,alpine,Stop,997
StartStopFastScenario,alpine,Start,1583
StartStopFastScenario,alpine,Stop,640
StartStopFastScenario,alpine,Start,2272
StartStopFastScenario,alpine,Stop,908
StartStopFastScenario,alpine,Start,1157
StartStopFastScenario,alpine,Stop,579
StartStopFastScenario,alpine,Start,2334
StartStopFastScenario,alpine,Stop,879
StartStopFastScenario,alpine,Start,1611
StartStopFastScenario,alpine,Stop,627
StartStopFastScenario,alpine,Start,2139
StartStopFastScenario,alpine,Stop,955
StartStopFastScenario,alpine,Start,1544
StartStopFastScenario,alpine,Stop,632
StartStopFastScenario,alpine,Start,2492
StartStopFastScenario,alpine,Stop,956
StartStopFastScenario,alpine,Start,1082
StartStopFastScenario,alpine,Stop,534
StartStopFastScenario,alpine,Start,2134
StartStopFastScenario,alpine,Stop,897
StartStopFastScenario,alpine,Start,1567
StartStopFastScenario,alpine,Stop,649
StartStopFastScenario,alpine,Start,2401
StartStopFastScenario,alpine,Stop,944
StartStopFastScenario,alpine,Start,1604
StartStopFastScenario,alpine,Stop,644
StartStopFastScenario,alpine,Start,2213
StartStopFastScenario,alpine,Stop,985
StartStopFastScenario,alpine,Start,1737
StartStopFastScenario,alpine,Stop,843
StartStopFastScenario,alpine,Start,2293
StartStopFastScenario,alpine,Stop,954
StartStopFastScenario,alpine,Start,1627
StartStopFastScenario,alpine,Stop,648
StartStopFastScenario,alpine,Start,2198
StartStopFastScenario,alpine,Stop,987
StartStopFastScenario,alpine,Start,1656
StartStopFastScenario,alpine,Stop,652
StartStopFastScenario,alpine,Start,2205
StartStopFastScenario,alpine,Stop,925
StartStopFastScenario,alpine,Start,1566
StartStopFastScenario,alpine,Stop,638
StartStopFastScenario,alpine,Start,2061
StartStopFastScenario,alpine,Stop,898
StartStopFastScenario,alpine,Start,1563
StartStopFastScenario,alpine,Stop,659
StartStopFastScenario,alpine,Start,2334
StartStopFastScenario,alpine,Stop,928
StartStopFastScenario,alpine,Start,1576
StartStopFastScenario,alpine,Stop,643
StartStopFastScenario,alpine,Start,2199
StartStopFastScenario,alpine,Stop,980
StartStopFastScenario,alpine,Start,1564
StartStopFastScenario,alpine,Stop,637
StartStopFastScenario,alpine,Start,2191
StartStopFastScenario,alpine,Stop,925
StartStopFastScenario,alpine,Start,1568
StartStopFastScenario,alpine,Stop,635
StartStopFastScenario,alpine,Start,2288
StartStopFastScenario,alpine,Stop,1025
StartStopFastScenario,alpine,Start,1602
StartStopFastScenario,alpine,Stop,645
StartStopFastScenario,alpine,Start,2325
StartStopFastScenario,alpine,Stop,1089
StartStopFastScenario,alpine,Start,1044
StartStopFastScenario,alpine,Stop,581
StartStopFastScenario,alpine,Start,2318
StartStopFastScenario,alpine,Stop,1015
StartStopFastScenario,alpine,Start,1580
StartStopFastScenario,alpine,Stop,616
StartStopFastScenario,alpine,Start,2425
StartStopFastScenario,alpine,Stop,1097
StartStopFastScenario,alpine,Start,1028
StartStopFastScenario,alpine,Stop,575
StartStopFastScenario,alpine,Start,2197
StartStopFastScenario,alpine,Stop,823
StartStopFastScenario,alpine,Start,1581
StartStopFastScenario,alpine,Stop,647
StartStopFastScenario,alpine,Start,2173
StartStopFastScenario,alpine,Stop,915
StartStopFastScenario,alpine,Start,1568
StartStopFastScenario,alpine,Stop,683
StartStopFastScenario,alpine,Start,2382
StartStopFastScenario,alpine,Stop,1045
StartStopFastScenario,alpine,Start,1162
StartStopFastScenario,alpine,Stop,588
StartStopFastScenario,alpine,Start,2110
StartStopFastScenario,alpine,Stop,901
StartStopFastScenario,alpine,Start,1232
StartStopFastScenario,alpine,Stop,604
StartStopFastScenario,alpine,Start,2278
StartStopFastScenario,alpine,Stop,930
StartStopFastScenario,alpine,Start,1202
StartStopFastScenario,alpine,Stop,589
StartStopFastScenario,alpine,Start,2124
StartStopFastScenario,alpine,Stop,892
StartStopFastScenario,alpine,Start,2722
StartStopFastScenario,alpine,Stop,920
StartStopFastScenario,alpine,Start,1644
StartStopFastScenario,alpine,Stop,642
StartStopFastScenario,alpine,Start,2420
StartStopFastScenario,alpine,Stop,993
