Scenario,MachineName,Operation,ElapsedMilliseconds
StartStopFastScenario2,alpine,Start,5795
StartStopFastScenario2,alpine,Stop,1016
StartStopFastScenario2,alpine,Start,1076
StartStopFastScenario2,alpine,Stop,853
StartStopFastScenario2,alpine,Start,2192
StartStopFastScenario2,alpine,Stop,1021
StartStopFastScenario2,alpine,Start,1029
StartStopFastScenario2,alpine,Stop,580
StartStopFastScenario2,alpine,Start,2216
StartStopFastScenario2,alpine,Stop,898
StartStopFastScenario2,alpine,Start,1050
StartStopFastScenario2,alpine,Stop,643
StartStopFastScenario2,alpine,Start,2087
StartStopFastScenario2,alpine,Stop,925
StartStopFastScenario2,alpine,Start,1057
StartStopFastScenario2,alpine,Stop,592
StartStopFastScenario2,alpine,Start,2274
StartStopFastScenario2,alpine,Stop,968
StartStopFastScenario2,alpine,Start,1076
StartStopFastScenario2,alpine,Stop,670
StartStopFastScenario2,alpine,Start,2016
StartStopFastScenario2,alpine,Stop,1036
StartStopFastScenario2,alpine,Start,3515
StartStopFastScenario2,alpine,Stop,1014
StartStopFastScenario2,alpine,Start,1592
StartStopFastScenario2,alpine,Stop,701
StartStopFastScenario2,alpine,Start,2252
StartStopFastScenario2,alpine,Stop,1132
StartStopFastScenario2,alpine,Start,1087
StartStopFastScenario2,alpine,Stop,596
StartStopFastScenario2,alpine,Start,2249
StartStopFastScenario2,alpine,Stop,889
StartStopFastScenario2,alpine,Start,1697
StartStopFastScenario2,alpine,Stop,693
StartStopFastScenario2,alpine,Start,1940
StartStopFastScenario2,alpine,Stop,965
StartStopFastScenario2,alpine,Start,1562
StartStopFastScenario2,alpine,Stop,632
StartStopFastScenario2,alpine,Start,2918
StartStopFastScenario2,alpine,Stop,971
StartStopFastScenario2,alpine,Start,1599
StartStopFastScenario2,alpine,Stop,625
StartStopFastScenario2,alpine,Start,2403
StartStopFastScenario2,alpine,Stop,959
StartStopFastScenario2,alpine,Start,1560
StartStopFastScenario2,alpine,Stop,652
StartStopFastScenario2,alpine,Start,2408
StartStopFastScenario2,alpine,Stop,818
StartStopFastScenario2,alpine,Start,1586
StartStopFastScenario2,alpine,Stop,636
StartStopFastScenario2,alpine,Start,2304
StartStopFastScenario2,alpine,Stop,830
StartStopFastScenario2,alpine,Start,1050
StartStopFastScenario2,alpine,Stop,643
StartStopFastScenario2,alpine,Start,2523
StartStopFastScenario2,alpine,Stop,924
StartStopFastScenario2,alpine,Start,1608
StartStopFastScenario2,alpine,Stop,629
StartStopFastScenario2,alpine,Start,2377
StartStopFastScenario2,alpine,Stop,1068
StartStopFastScenario2,alpine,Start,1057
StartStopFastScenario2,alpine,Stop,715
StartStopFastScenario2,alpine,Start,2255
StartStopFastScenario2,alpine,Stop,884
StartStopFastScenario2,alpine,Start,1126
StartStopFastScenario2,alpine,Stop,694
StartStopFastScenario2,alpine,Start,2512
StartStopFastScenario2,alpine,Stop,998
StartStopFastScenario2,alpine,Start,1694
StartStopFastScenario2,alpine,Stop,675
StartStopFastScenario2,alpine,Start,2371
StartStopFastScenario2,alpine,Stop,938
StartStopFastScenario2,alpine,Start,1066
StartStopFastScenario2,alpine,Stop,682
StartStopFastScenario2,alpine,Start,2535
StartStopFastScenario2,alpine,Stop,875
StartStopFastScenario2,alpine,Start,1207
StartStopFastScenario2,alpine,Stop,591
StartStopFastScenario2,alpine,Start,2295
StartStopFastScenario2,alpine,Stop,879
StartStopFastScenario2,alpine,Start,1566
StartStopFastScenario2,alpine,Stop,616
StartStopFastScenario2,alpine,Start,2457
StartStopFastScenario2,alpine,Stop,907
StartStopFastScenario2,alpine,Start,1067
StartStopFastScenario2,alpine,Stop,700
StartStopFastScenario2,alpine,Start,2436
StartStopFastScenario2,alpine,Stop,916
StartStopFastScenario2,alpine,Start,1027
StartStopFastScenario2,alpine,Stop,597
StartStopFastScenario2,alpine,Start,2347
StartStopFastScenario2,alpine,Stop,844
StartStopFastScenario2,alpine,Start,1156
StartStopFastScenario2,alpine,Stop,546
StartStopFastScenario2,alpine,Start,2062
StartStopFastScenario2,alpine,Stop,977
StartStopFastScenario2,alpine,Start,1020
StartStopFastScenario2,alpine,Stop,600
StartStopFastScenario2,alpine,Start,2409
StartStopFastScenario2,alpine,Stop,1144
StartStopFastScenario2,alpine,Start,1015
StartStopFastScenario2,alpine,Stop,663
StartStopFastScenario2,alpine,Start,2179
StartStopFastScenario2,alpine,Stop,942
StartStopFastScenario2,alpine,Start,3320
StartStopFastScenario2,alpine,Stop,1018
StartStopFastScenario2,alpine,Start,1779
StartStopFastScenario2,alpine,Stop,620
StartStopFastScenario2,alpine,Start,2290
StartStopFastScenario2,alpine,Stop,903
StartStopFastScenario2,alpine,Start,1055
StartStopFastScenario2,alpine,Stop,670
StartStopFastScenario2,alpine,Start,2077
StartStopFastScenario2,alpine,Stop,929
StartStopFastScenario2,alpine,Start,1854
StartStopFastScenario2,alpine,Stop,644
StartStopFastScenario2,alpine,Start,2153
StartStopFastScenario2,alpine,Stop,905
StartStopFastScenario2,alpine,Start,1215
StartStopFastScenario2,alpine,Stop,571
StartStopFastScenario2,alpine,Start,2154
StartStopFastScenario2,alpine,Stop,970
StartStopFastScenario2,alpine,Start,1113
StartStopFastScenario2,alpine,Stop,777
StartStopFastScenario2,alpine,Start,2107
StartStopFastScenario2,alpine,Stop,1022
StartStopFastScenario2,alpine,Start,3251
StartStopFastScenario2,alpine,Stop,966
StartStopFastScenario2,alpine,Start,1551
StartStopFastScenario2,alpine,Stop,576
StartStopFastScenario2,alpine,Start,2337
StartStopFastScenario2,alpine,Stop,1045
StartStopFastScenario2,alpine,Start,1202
StartStopFastScenario2,alpine,Stop,674
StartStopFastScenario2,alpine,Start,2424
StartStopFastScenario2,alpine,Stop,1081
StartStopFastScenario2,alpine,Start,1581
StartStopFastScenario2,alpine,Stop,662
StartStopFastScenario2,alpine,Start,2433
StartStopFastScenario2,alpine,Stop,1174
StartStopFastScenario2,alpine,Start,1696
StartStopFastScenario2,alpine,Stop,710
StartStopFastScenario2,alpine,Start,2127
StartStopFastScenario2,alpine,Stop,1045
StartStopFastScenario2,alpine,Start,1741
StartStopFastScenario2,alpine,Stop,671
StartStopFastScenario2,alpine,Start,2363
StartStopFastScenario2,alpine,Stop,981
StartStopFastScenario2,alpine,Start,1153
StartStopFastScenario2,alpine,Stop,654
StartStopFastScenario2,alpine,Start,2137
StartStopFastScenario2,alpine,Stop,927
StartStopFastScenario2,alpine,Start,1652
StartStopFastScenario2,alpine,Stop,654
StartStopFastScenario2,alpine,Start,2309
StartStopFastScenario2,alpine,Stop,1044
StartStopFastScenario2,alpine,Start,1575
StartStopFastScenario2,alpine,Stop,778
StartStopFastScenario2,alpine,Start,2288
StartStopFastScenario2,alpine,Stop,1067
StartStopFastScenario2,alpine,Start,1169
StartStopFastScenario2,alpine,Stop,817
StartStopFastScenario2,alpine,Start,2602
StartStopFastScenario2,alpine,Stop,1094
StartStopFastScenario2,alpine,Start,1710
StartStopFastScenario2,alpine,Stop,785
StartStopFastScenario2,alpine,Start,2558
StartStopFastScenario2,alpine,Stop,1049
StartStopFastScenario2,alpine,Start,1130
StartStopFastScenario2,alpine,Stop,722
StartStopFastScenario2,alpine,Start,2590
StartStopFastScenario2,alpine,Stop,1007
StartStopFastScenario2,alpine,Start,1050
StartStopFastScenario2,alpine,Stop,668
StartStopFastScenario2,alpine,Start,2284
StartStopFastScenario2,alpine,Stop,894
